brand,color,current_price,namex,original_price,stock_status,url
Samsung,Black,6363,"Mobile Samsung A14 4GB Ram, 128GB - Black",7500,In stock,https://dream2000.com/en/mobile-samsung-a14-4gb-ram-128gb-black.html
Samsung,Lime,17999,"Samsung Galaxy A54 (5G) 8GB Ram, 256GB - Awesome Lime",21100,In stock,https://dream2000.com/en/samsung-a54-5g-8gb-ram-256gb-awesome-lime.html
Samsung,Graphite,17999,"Mobile Samsung A54 (5G) 8GB Ram, 256GB - Awesome Graphite",21100,In stock,https://dream2000.com/en/mobile-samsung-a54-5g-8gb-ram-256gb-awesome-graphite.html
Samsung,Graphite,15444,"Mobile Samsung A54 (5G) 8GB Ram, 128GB - Awesome Graphite",18100,In stock,https://dream2000.com/en/mobile-samsung-a54-5g-8gb-ram-128gb-awesome-graphite.html
Samsung,Lime,15444,"Mobile Samsung A54 (5G) 8GB Ram, 128GB - Awesome Lime",18100,In stock,https://dream2000.com/en/mobile-samsung-a54-5g-8gb-ram-128gb-awesome-lime.html
Apple,Starlight,31490,Apple iPhone 13 128GB - Starlight,36900,In stock,https://dream2000.com/en/apple-iphone-13-128g-starlight.html
Apple,Midnight,31490,Apple iPhone 13 128GB - Midnight,36900,In stock,https://dream2000.com/en/apple-iphone-13-128gb-midnight.html
Apple,White,24990,Apple iPhone 11 128GB - White,29300,In stock,https://dream2000.com/en/apple-iphone-11-128gb-white.html
Vivo,Purple,15990,"Vivo V27E 8GB Ram, 256GB - Lavender Purple",18800,In stock,https://dream2000.com/en/vivo-v27e-8gb-ram-256gb-lavender-purple.html
Oppo,Orange,12660,"Oppo Reno 8T 8GB Ram, 256GB - Sunset Orange",14900,In stock,https://dream2000.com/en/oppo-reno-8t-8gb-ram-256gb-sunset-orange.html
Oppo,Black,12660,"Oppo Reno 8T 8GB Ram, 256GB - Midnight Black",14900,In stock,https://dream2000.com/en/oppo-reno-8t-8gb-ram-256gb-midnight-black.html
Oppo,Black,5444,"Oppo A17 4GB Ram, 64GB - Midnight Black",6400,In stock,https://dream2000.com/en/oppo-a17-4gb-ram-64gb-midnight-black.html
Oppo,Blue,5444,"Oppo A17 4GB Ram, 64GB - Lake Blue",6400,In stock,https://dream2000.com/en/oppo-a17-4gb-ram-64gb-lake-blue.html
Xiaomi,Gray,8800,"Mobile Xiaomi Redmi Note 12 8GB Ram, 128GB - Onyx Gray",10300,In stock,https://dream2000.com/en/mobile-xiaomi-redmi-note-12-8gb-ram-128gb-onyx-gray.html
Apple,Black,24990,Apple iPhone 11 128GB - Black,29300,In stock,https://dream2000.com/en/apple-iphone-11-128gb-black-a.html
Nokia,Charcoal,940,Nokia 105 - Charcoal EG,1100,In stock,https://dream2000.com/en/nokia-105-charcoal-eg.html
Apple,Green,30790,Apple iPhone 13 128GB - Green,36100,In stock,https://dream2000.com/en/apple-iphone-13-128gb-green.html
Apple,Blue,31490,Apple iPhone 13 128GB - Blue,36900,In stock,https://dream2000.com/en/apple-iphone-13-128gb-blue-a.html
Apple,Pink,30790,Apple Iphone 13 128GB - Pink,36100,In stock,https://dream2000.com/en/apple-iphone-13-128gb-pink.html
